Domande,Risposte
Dov'è nata la mozzarella di bufala? ,La mozzarella di bufala è un latticino prodotto con latte intero e fresco di bufala e le sue origini risalgono ad epoche lontane. Ne sono prova manoscritti e documenti risalenti addirittura al 1300. Infatti l’antica tradizione narra che i monaci del monastero di San Lorenzo di Capua offrivano ai pellegrini in viaggio un formaggio chiamato “mozza” o “provatura”. Un formaggio fresco la cui caratteristica era quella di essere ricavato dal latte di bufala. Molto probabilmente il termine mozza deriva dall’atto del mozzare la pasta filata con indice e pollice. Arte comune a tutti gli esperti casari dediti alla produzione di mozzarella.
Dove viene prodotto la mozzarella di bufala? ,"L’80% della mozzarella di bufala viene prodotta in Campania (nelle province di Caserta e Salerno), mentre il restante 20% è dislocato tra la Puglia, il Lazio meridionale e il Molise."
Che cosa significa DOP?,"Dagli anni novanta il riconoscimento della ""DOP"" (Denominazione di origine protetta) assicura i consumatori e specifica l'area geografica in cui essa viene prodotta."
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP? ,"La mozzarella di bufala campana è particolarmente nutriente: l'apporto energetico è di 288 kcal/100 grammi per la presenza di 16,7 g di proteine, 24,4 g di grassi, pochissimo lattosio (0,4 g %) ed una miniera di micronutrienti (vitamine e sali minerali), tra i quali meritano una menzione il calcio (210 mg %) e la vitamina B12 (1,7 µg %)"
Qual'è la storia della mozzarella di bufala?,"Prescindendo dalle fonti, altri ricostruiscono la storia della mozzarella collegando le sue origini all’introduzione in Italia degli allevamenti di bufala. Infatti, a coloro che sostengono l’origine autoctona dell’animale, si contrappongono quelli che ritengono sia stato introdotto in Italia subito dopo l’invasione dei Longobardi. Altri ancora sostengono che l’animale di origine indiana sia stato introdotto per la prima volta in Sicilia dagli Arabi, e poi portato nel continente dai re Normanni. Infine ci sono coloro che ipotizzano la sua presenza in Italia già in epoca pre-romana.

In ogni caso, le prime notizie documentate che accertano la presenza delle bufale in Italia risalgono al periodo compreso tra il XII e il XIII secolo. Anche se allo stato brado, questi animali trovarono il loro habitat naturale nelle terre paludose del sud Italia. In queste zone, infatti, non era prezioso solo per il suo latte, ma anche perché era il miglior animale da soma per la lavorazione della terra in zone acquitrinose. Presenti sicuramente in Campania, Calabria, Basilicata e Puglia, alcuni cenni storici confermano la presenza di allevamenti anche nel basso Lazio. Tuttavia, la produzione di mozzarelle di bufala era concentrata nel Casertano e in provincia di Salerno alle porte del Cilento.Sicuramente l’era borbonica rappresenta il periodo di massimo splendore della mozzarella di bufala. Nella seconda metà del 700, infatti, presso la Tenuta Reali di Carditello, il Re Borbone insediò un allevamento di bufale e il primo e più grande caseificio della storia. Si iniziò addirittura a regolamentarne la produzione, stabilendo che le mozzarelle dovevano rimanere nel loro liquido per almeno un giorno, mentre le provole per due. Veniva, inoltre, imposta l’affumicatura dei prodotti che non erano destinati al mercato locale. Insieme alla “Reale Industria della Pagliata delle Bufale” va annoverata la “Vaccheria Reale” sita a Capodimonte, dove le mozzarelle erano realizzate sia con latte di bufala che di vacca. In quel periodo, si iniziò a delineare la geografia delle principali zone di produzione, comprendente il basso Lazio, Caserta, Napoli e Salerno con la mozzarella di Battipaglia e Paestum, fino alla provincia di Foggia nel Gargano. Fu questo il primo esempio di industrializzazione casearia."
Quanto latte serve per produrre un chilo di mozzarella? ,"La mozzarella di bufala si ricava esclusivamente da latte fresco e intero di bufala di razza mediterranea italiana, ricco di grassi e proteine. Per un chilo di mozzarella ne occorrono circa 4,2 litri."
Quanto costa all'incirca una mozzarella? ,"in questo caso si può parlare di ""giusto prezzo"" in base alle zone di provenienza, dividendo la Campania (e zone limitrofe) dal resto d'Italia: i costi dei trasporti influiscono tantissimo sul prezzo finale. Abbiamo chiesto a Paolo Amato, uno dei maestri casari più apprezzati d'Italia, come destreggiarsi tra i carrelli del supermercato per non farsi fregare e, secondo lui, ""una mozzarella di bufala in Campania deve costare tra i 12 e i 13 euro, il fiordilatte circa 8 euro al chilo. È importante sottolineare che si tratta di un prezzo territoriale, non nazionale: logistica, trasporto, i più banali passaggi di mano fanno lievitare il prezzo perché è ovvio che tutti ci debbano guadagnare. Al Nord una mozzarella di bufala certificata e sicura costa tra i 16 e i 18 euro"". Per il titolare del Caseificio Aurora, nel cuore dei Monti Lattari, dobbiamo drizzare le orecchie quando troviamo la mozzarella ""sotto i 12 euro nelle zone di produzione e sotto i 16 euro nel resto del Paese""."
Come riconoscere una mozzarella di qualità?,"Umidità: 57% minimo - Colore: bianco porcellaneo - Superficie: liscia e lucente - Crosta: sottilissima (meno di un millimetro). La faccia non deve mai essere viscida (difetto di microflora), né ruvida, né rugosa, né scagliata (difetto di conservazione).
Al taglio lascia scolare un po’di sierosità biancastra, dal profumo di fermenti lattici.
Si notano le fenditure a foglia della struttura e, qualche volta, alcuni vuoti formatisi durante la filatura; questo non è un difetto ma neppure un pregio.
Sulla fascia sono più o meno appariscenti dei rilievi sottili, che stanno ad indicare il punto di distacco della mozzarella dalla massa di pasta."
quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,"Adesso che sapete come mangiarla in purezza, potete divertirvi a scoprire gli abbinamenti migliori per un pranzo veloce o una cena in terrazza. A noi piace accompagnare la mozzarella di bufala con peperoni, cipolle e pomodorini. Se non sapete quali peperoni scegliere o quale varietà di cipolle comprare, vi possiamo aiutare noi. Potete anche farla scolare dal suo liquido per metterla in tutta la sua gloria e il suo sapore in un croccante panino, come il panuozzo con mozzarella di bufala campana, prosciutto crudo di Parma e pomodori secchi (c'è anche la versione vegetariana di questo panuozzo a cura dello chef Stefano De Gregorio). Anche il panino tarata gourmet non se la cava affatto male: mozzarella di bufala, alici, scarola e peperoncino. Ma potete anche divertirvi ad aggiungere le verdure grigliate (vi diamo anche i segreti per grigliarle alla perfezione), io per esempio vado matta per friggitielli e peperoni cruschi, ma anche pomodori verdi (fritti o no sta a voi deciderlo). Oltre a panini e panuozzi, la bufala è una meraviglia anche sulle frise, e se anche voi siete fan di questo abbinamento provate ad aggiungere i pomodorini gialli e filetti di triglia al fumo di rosmarino. La mozzarella di bufala è perfetta anche per la caprese. Per farne una insolita potete giocare sulle diverse varietà di pomodori e sul sale del condimento. Oppure stupite i vostri ospiti con la versione gourmet della caprese di mozzarella di bufala ai quattro pomodori. Alla caprese prepariamo anche la pasta che può essere servita fredda, fantastica per essere portata in spiaggia o in ufficio. "
Come si produce la mozzarella di bufala campana DOP? ,"Quello che rende ancora più magica la mozzarella di bufala è il suo procedimento produttivo: è una cosa talmente semplice che è straordinario che possa dare questo risultato. Ma come accade molto spesso le cose più semplici sono anche quelle più incredibili. Per fare la mozzarella di bufala quindi si parte dal latte: deve essere rigorosamente latte di bufala (so che è scontato ma è sempre meglio sottolinearlo) e deve essere latte intero fresco. Il latte si fa scaldare, viene aggiunto il caglio. Il caglio può essere di origine vegetale o animale, ed è un composto a base di enzimi che determina la coagulazione delle caseine che sono contenute nel latte. Una volta che le proteine vengono agglomerate si posso lavorare per ottenere formaggi e derivati caseari. La massa proteica che precipita sul fondo, inglobando grassi e sali, è la cagliata, la base che serve per produrre il formaggio. La parte che rimane sospesa invece è il siero. Una volta che il latte di bufala caglia, viene lasciato ""maturare"" per qualche ora. La pasta che si forma viene tagliata e messa in un recipiente con acqua caldissima dove viene mescolata e lavorata con un bastone fino a che raggiunge la sua consueta forma filante. A quel punto le mozzarelle vengono create appunto mozzando la pasta con le mani. La parte che viene mozzata viene immersa in una salamoia fresca. La proporzione tra acqua è sale è diversa tra zone di produzione e stabilimenti. Nella piana del Sele, dove si producono gli omonimi datterini gialli, la salamoia è più dolce mentre risulta più saporita nel casertano."
