Domande,Risposte,response_time,embedding_model,llm_model,retrieval_effectivness,llm_semantic_effectivness,llm_syntax_grammar_effectivness
Dov'è nata la mozzarella di bufala?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,"La mozzarella di bufala è originaria dell'Italia. È un bovino, probabilmente originario dell'Asia e dell'Europa per il suo DNA che lo differenzia da qualsiasi altra specie di bufalo (es: asiatico). Il primo documento ufficiale che parla del formaggio Aversa risale all'inizio del XV secolo ma esiste da secoli prima di essere introdotto in molti piatti italiani come la pizza o i sughi per la pasta.",,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,31994.983434677124,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Dove viene prodotto la mozzarella di bufala?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,"La mozzarella di bufala è prodotta in Italia. È un latticino originario della regione mediterranea italiana della Campania ed è stato preservato dal 1996, rendendolo una delle uniche due varietà di formaggio ad aver ottenuto la protezione per il suo status di origine come DOP ufficiale (Prodotto Biologico Protetto Distrettuale).",,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,25923.682689666748,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Che cosa significa DOP?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,"Denominazione di Origine Protetta. Questo è un modo per garantire che il formaggio provenga da un'area con elevati standard di qualità e sia stato prodotto in conformità con le normative stabilite dalle autorità governative o da altre organizzazioni, come i comuni o i mercati degli agricoltori.",,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,33037.62626647949,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,"La mozzarella di bufala campana DOP è particolarmente nutriente per il ridotto contenuto di zuccheri, colesterolo e lattosio. Presenta un moderato apporto di grassi totali e acidi grassi saturi nonché un'ottima fonte di proteine ​​ad alto valore biologico a cui si associa anche la presenza di bassi livelli di sodio (meno di 0,25 mg per 100 grammi).",,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,46030.77673912048,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Qual'è la storia della mozzarella di bufala?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,"La storia della mozzarella di bufala risale al 500 a.C., quando c'era bisogno di formaggi che potessero conservarsi più a lungo e abbassare l'acidità attraverso la filatura a caldo. Questo processo è utilizzato ancora oggi poiché aiuta a preservare il latte dall'essere rovinato dal calore o da altre fonti come l'aria condizionata durante i mesi estivi.",,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,27745.75424194336,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Quanto latte serve per produrre un chilo di mozzarella?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,"Per produrne un chilo sono necessari circa 4,2 litri di latte. Questo perché la mozzarella richiede latte fresco e intero di bufala ed è composta da grassi di origine bovina ricchi di proteine ​​come la lattoferrina (che aiuta a conferire alla mozzarella la sua consistenza cremosa).",,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,24606.853008270264,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Quanto costa all'incirca una mozzarella?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,"Il prezzo medio della mozzarella in Campania è intorno ai 12 euro, mentre in genere è superiore ai 16 euro. Dipende dalla regione e dal tipo di formaggio da cui stai acquistando, nonché da quanto tempo impiega per preparare la tua pizza o se ci saranno costi aggiuntivi per i servizi di consegna/ritiro come condimenti extra come funghi ecc. che potrebbero aggiungere un costo aggiuntivo (es: spedizione gratuita).",,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,31002.58016586304,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Come riconoscere una mozzarella di qualità?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,"Il modo migliore per riconoscere la mozzarella di qualità è cercare i segni di maturazione, come la consistenza morbida e cremosa. Guarda anche la quantità di umidità contenuta; ciò può indicare che ci sono problemi con il suo processo produttivo o la sua mancanza a causa di condizioni di conservazione inadeguate. Inoltre, fai attenzione a eventuali odori insoliti come aromi di aglio che potrebbero essere indicativi di potenziali truffatori che potrebbero tentare di indurti ad acquistare i loro prodotti senza verificare prima la tua identità prima di acquistarli da una fonte inaffidabile.",,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,38986.592292785645,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,"Non lo so. Gli abbinamenti culinari della Mozzarella di Bufala Campana DOP sono: 1. Pasta caprese con mozzarella di bufala, pomodoro e olive di Gaeta 2. Panzerotto condito con basilico fresco 3. Bufala in carrozza 4. Pizza ricavata da esso 5. Pastrami",,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,40270.32589912415,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Come si produce la mozzarella di bufala campana DOP?,,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,Per ottenere la DOP le aziende produttrici devono produrre il formaggio esclusivamente con il latte delle bufale allevate in questi comuni. Ciò garantisce che sia prodotto senza alcun additivo o conservante e non contenga sottoprodotti di origine animale come il rumine (che si può trovare in alcune catene di supermercati).,,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
,,40888.665199279785,sentence-transformers/all-mpnet-base-v2,declare-lab/flan-alpaca-large,0,1,1
Dov'è nata la mozzarella di bufala?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
